mosquito_species;male;fem_unfed;fem_fed;fem_gravid;total;collection_date;remarks;source
Aedes Aegypti;0;0;0;0;0;1/2/24;;
Culex;33;38;0;0;71;1/2/24;;
Others;0;0;0;0;0;1/2/24;;
Aedes Albopictus;0;0;0;0;0;1/2/24;;
Aedes Aegypti;0;0;0;0;0;1/2/24;;
Culex;481;39;5;0;525;1/2/24;;
Others;0;0;0;0;0;1/2/24;;
Aedes Albopictus;0;0;0;0;0;1/2/24;;
Aedes Aegypti;0;0;0;0;0;1/2/24;;
Culex;49;18;0;0;67;1/2/24;;
Others;0;0;0;0;0;1/2/24;;
Aedes Albopictus;0;0;0;0;0;1/2/24;;
Aedes Aegypti;0;0;0;0;0;1/2/24;;
Culex;81;27;0;0;108;1/2/24;;
Others;0;0;0;0;0;1/2/24;;
Aedes Albopictus;0;0;0;0;0;1/2/24;;
Aedes Aegypti;0;0;0;0;0;1/2/24;;
Culex;0;7;0;0;7;1/2/24;;
Others,Armigeres;0;0;0;0;0;1/2/24;;
Aedes Albopictus;0;0;0;0;0;31/1/24;;
Aedes Aegypti;0;0;0;0;0;31/1/24;;
Culex;7;10;1;0;18;31/1/24;;
Others;0;0;0;0;0;31/1/24;;
Aedes Albopictus;0;0;0;0;0;31/1/24;;
Aedes Aegypti;0;0;0;0;0;31/1/24;;
Culex;219;145;12;0;376;31/1/24;;
Others,Armigeres;0;1;0;0;1;31/1/24;;
Aedes Albopictus;0;0;0;0;0;31/1/24;;
Aedes Aegypti;0;0;0;0;0;31/1/24;;
Culex;4;26;1;0;31;31/1/24;;
Others;0;0;0;0;0;31/1/24;;
Aedes Albopictus;0;0;0;0;0;31/1/24;;
Aedes Aegypti;0;0;0;0;0;31/1/24;;
Culex;230;56;4;0;290;31/1/24;;
Others;0;0;0;0;0;31/1/24;;
Aedes Albopictus;0;0;0;0;0;31/1/24;;
Aedes Aegypti;0;0;0;0;0;31/1/24;;
Culex;4;10;0;0;14;31/1/24;;
Others;0;0;0;0;0;31/1/24;;
Aedes Albopictus;0;0;0;0;0;1/2/24;;
Aedes Aegypti;0;0;0;0;0;1/2/24;;
Culex;102;65;2;0;169;1/2/24;;
Others,Armigeres;0;1;0;0;1;1/2/24;;
Aedes Albopictus;0;0;0;0;0;1/2/24;;
Aedes Aegypti;0;0;0;0;0;1/2/24;;
Culex;491;188;1;0;680;1/2/24;;
Others,Armigeres;0;2;0;0;2;1/2/24;;
Aedes Albopictus;0;0;0;0;0;1/2/24;;
Aedes Aegypti;0;0;0;0;0;1/2/24;;
Culex;0;1;0;0;1;1/2/24;;
Others;0;0;0;0;0;1/2/24;;
Aedes Albopictus;0;0;0;0;0;1/2/24;;
Aedes Aegypti;0;0;0;0;0;1/2/24;;
Culex;6;3;0;1;10;1/2/24;;
Others;0;0;0;0;0;1/2/24;;
Aedes Albopictus;0;0;0;0;0;1/2/24;;
Aedes Aegypti;0;0;0;0;0;1/2/24;;
Culex;0;13;0;0;13;1/2/24;;
Others,Armigeres;0;1;0;0;1;1/2/24;;
Aedes Albopictus;0;0;0;0;0;4/2/24;;
Aedes Aegypti;0;0;0;0;0;4/2/24;;
Culex;0;0;0;0;0;4/2/24;;
Others;0;0;0;0;0;4/2/24;;
Aedes Albopictus;0;0;0;0;0;4/2/24;;
Aedes Aegypti;0;0;0;0;0;4/2/24;;
Culex;0;0;0;0;0;4/2/24;;
Others;0;0;0;0;0;4/2/24;;
Aedes Albopictus;0;0;0;0;0;4/2/24;;
Aedes Aegypti;0;1;0;0;1;4/2/24;;
Culex;0;2;0;0;2;4/2/24;;
Others;0;0;0;0;0;4/2/24;;
Aedes Albopictus;0;0;0;0;0;4/2/24;;
Aedes Aegypti;0;0;0;0;0;4/2/24;;
Culex;2;3;0;0;5;4/2/24;;
Others;0;0;0;0;0;4/2/24;;
Aedes Albopictus;0;0;0;0;0;4/2/24;;
Aedes Aegypti;3;2;0;0;5;4/2/24;;
Culex;4;5;0;0;9;4/2/24;;
Others;0;0;0;0;0;4/2/24;;
Aedes Albopictus;0;0;0;0;0;5/2/24;;
Aedes Aegypti;0;0;0;0;0;5/2/24;;
Culex;0;0;0;0;0;5/2/24;;
Others;0;0;0;0;0;5/2/24;;
Aedes Albopictus;0;0;0;0;0;5/2/24;;
Aedes Aegypti;0;0;0;0;0;5/2/24;;
Culex;0;0;0;0;6;5/2/24;;
Others;0;0;0;0;0;5/2/24;;
Aedes Albopictus;0;0;0;0;0;5/2/24;;
Aedes Aegypti;0;1;0;0;1;5/2/24;;
Culex;3;6;0;0;9;5/2/24;;
Others;0;0;0;0;0;5/2/24;;
Aedes Albopictus;0;0;0;0;0;5/2/24;;
Aedes Aegypti;0;0;0;0;0;5/2/24;;
Culex;4;5;0;0;9;5/2/24;;
Others;0;0;0;0;0;5/2/24;;
Aedes Albopictus;0;0;0;0;0;5/2/24;;
Aedes Aegypti;3;0;0;0;3;5/2/24;;
Culex;10;4;0;0;14;5/2/24;;
Others;0;0;0;0;0;5/2/24;;
Aedes Albopictus;0;0;0;0;0;25/1/24;;
Aedes Aegypti;0;0;0;0;0;25/1/24;;
Culex;0;0;0;0;0;25/1/24;;
Others;0;0;0;0;0;25/1/24;;
Aedes Albopictus;0;0;0;0;0;25/1/24;;
Aedes Aegypti;0;0;0;0;0;25/1/24;;
Culex;2;6;0;0;8;25/1/24;;
Others;0;0;0;0;0;25/1/24;;
Aedes Albopictus;0;0;0;0;0;25/1/24;;
Aedes Aegypti;0;0;0;0;0;25/1/24;;
Culex;1;2;0;0;3;25/1/24;;
Others;0;0;0;0;0;25/1/24;;
Aedes Albopictus;0;0;0;0;0;25/1/24;;
Aedes Aegypti;0;0;0;0;0;25/1/24;;
Culex;11;8;0;0;19;25/1/24;;
Others;0;0;0;0;0;25/1/24;;
Aedes Albopictus;0;0;0;0;0;25/1/24;;
Aedes Aegypti;0;0;0;0;0;25/1/24;;
Culex;2;1;0;0;3;25/1/24;;
Others;0;0;0;0;0;25/1/24;;
Aedes Albopictus;0;0;0;0;0;26/1/24;;
Aedes Aegypti;0;0;0;0;0;26/1/24;;
Culex;2;1;0;0;3;26/1/24;;
Others;0;0;0;0;0;26/1/24;;
Aedes Albopictus;0;0;0;0;0;26/1/24;;
Aedes Aegypti;0;0;0;0;0;26/1/24;;
Culex;0;0;0;0;0;26/1/24;;
Others;0;0;0;0;0;26/1/24;;
Aedes Albopictus;0;0;0;0;0;26/1/24;;
Aedes Aegypti;0;0;0;0;0;26/1/24;;
Culex;0;0;0;1;1;26/1/24;;
Others;0;0;0;0;0;26/1/24;;
Aedes Albopictus;0;0;0;0;0;26/1/24;;
Aedes Aegypti;0;0;0;0;0;26/1/24;;
Culex;3;8;0;0;11;26/1/24;;
Others;0;0;0;0;0;26/1/24;;
Aedes Albopictus;0;0;0;0;0;26/1/24;;
Aedes Aegypti;0;1;0;0;1;26/1/24;;
Culex;2;5;0;0;7;26/1/24;;
Others;0;0;0;0;0;26/1/24;;
Aedes Albopictus;0;0;0;0;0;28/1/24;;
Aedes Aegypti;0;0;0;0;0;28/1/24;;
Culex;70;18;0;0;88;28/1/24;;
Others;0;0;0;0;0;28/1/24;;
Aedes Albopictus;0;0;0;0;0;28/1/24;;
Aedes Aegypti;0;0;0;0;0;28/1/24;;
Culex;7;9;0;0;16;28/1/24;;
Others;0;0;0;0;0;28/1/24;;
Aedes Albopictus;0;0;0;0;0;28/1/24;;
Aedes Aegypti;0;0;0;0;0;28/1/24;;
Culex;2;6;0;0;8;28/1/24;;
Others;0;0;0;0;0;28/1/24;;
Aedes Albopictus;0;0;0;0;0;28/1/24;;
Aedes Aegypti;0;0;0;0;0;28/1/24;;
Culex;11;2;0;0;13;28/1/24;;
Others;0;0;0;0;0;28/1/24;;
Aedes Albopictus;0;0;0;0;0;28/1/24;;
Aedes Aegypti;0;0;0;0;0;28/1/24;;
Culex;81;9;0;0;90;28/1/24;;
Others;0;0;0;0;0;28/1/24;;
Aedes Albopictus;0;0;0;0;0;29/1/24;;
Aedes Aegypti;0;0;0;0;0;29/1/24;;
Culex;102;31;0;0;133;29/1/24;;
Others;0;0;0;0;0;29/1/24;;
Aedes Albopictus;0;0;0;0;0;29/1/24;;
Aedes Aegypti;0;0;0;0;0;29/1/24;;
Culex;39;28;0;0;67;29/1/24;;
Others;0;0;0;0;0;29/1/24;;
Aedes Albopictus;0;0;0;0;0;29/1/24;;
Aedes Aegypti;0;0;0;0;0;29/1/24;;
Culex;21;11;0;0;32;29/1/24;;
Others;0;0;0;0;0;29/1/24;;
Aedes Albopictus;0;0;0;0;0;29/1/24;;
Aedes Aegypti;0;0;0;0;0;29/1/24;;
Culex;7;4;0;0;11;29/1/24;;
Others;0;0;0;0;0;29/1/24;;
Aedes Albopictus;0;0;0;0;0;29/1/24;;
Aedes Aegypti;0;0;0;0;0;29/1/24;;
Culex;221;14;0;0;235;29/1/24;;
Others;0;0;0;0;0;29/1/24;;
Aedes Albopictus;0;0;0;0;0;6/2/24;;
Aedes Aegypti;0;0;0;0;0;6/2/24;;
Culex;6;15;0;0;21;6/2/24;;
Others;0;0;0;0;0;6/2/24;;
Aedes Albopictus;0;0;0;0;0;6/2/24;;
Aedes Aegypti;0;0;0;0;0;6/2/24;;
Culex;12;9;0;0;21;6/2/24;;
Others;0;0;0;0;0;6/2/24;;
Aedes Albopictus;0;0;0;0;0;6/2/24;;
Aedes Aegypti;0;0;0;0;0;6/2/24;;
Culex;2;5;0;0;7;6/2/24;;
Others;0;0;0;0;0;6/2/24;;
Aedes Albopictus;0;0;0;0;0;6/2/24;;
Aedes Aegypti;0;0;0;0;0;6/2/24;;
Culex;2;10;0;0;12;6/2/24;;
Others,Armigeres;0;1;0;0;1;6/2/24;;
Aedes Albopictus;0;0;0;0;0;6/2/24;;
Aedes Aegypti;0;0;0;0;0;6/2/24;;
Culex;0;0;0;0;0;6/2/24;;
Others;0;0;0;0;0;6/2/24;;
Aedes Albopictus;0;0;0;0;0;7/2/24;;
Aedes Aegypti;0;0;0;0;0;7/2/24;;
Culex;5;28;0;0;33;7/2/24;;
Others;0;0;0;0;0;7/2/24;;
Aedes Albopictus;0;0;0;0;0;7/2/24;;
Aedes Aegypti;0;1;0;0;1;7/2/24;;
Culex;5;12;0;0;17;7/2/24;;
Others;0;0;0;0;0;7/2/24;;
Aedes Albopictus;0;0;0;0;0;7/2/24;;
Aedes Aegypti;0;0;0;0;0;7/2/24;;
Culex;8;13;0;0;21;7/2/24;;
Others;0;0;0;0;0;7/2/24;;
Aedes Albopictus;0;0;0;0;0;7/2/24;;
Aedes Aegypti;0;0;0;0;0;7/2/24;;
Culex;0;6;0;0;6;7/2/24;;
Others;0;0;0;0;0;7/2/24;;
Aedes Albopictus;0;0;0;0;0;7/2/24;;
Aedes Aegypti;0;0;0;0;0;7/2/24;;
Culex;19;11;0;0;30;7/2/24;;
Others;0;0;0;0;0;7/2/24;;
Aedes Albopictus;0;0;0;0;0;8/2/24;;
Aedes Aegypti;0;0;0;0;0;8/2/24;;
Culex;3;4;0;0;7;8/2/24;;
Others;0;0;0;0;0;8/2/24;;
Aedes Albopictus;0;0;0;0;0;8/2/24;;
Aedes Aegypti;0;0;0;0;0;8/2/24;;
Culex;102;11;0;0;113;8/2/24;;
Others;0;0;0;0;0;8/2/24;;
Aedes Albopictus;0;0;0;0;0;8/2/24;;
Aedes Aegypti;0;0;0;0;0;8/2/24;;
Culex;219;38;0;0;257;8/2/24;;
Others;0;0;0;0;0;8/2/24;;
Aedes Albopictus;0;0;0;0;0;8/2/24;;
Aedes Aegypti;0;0;0;0;0;8/2/24;;
Culex;89;21;1;0;111;8/2/24;;
Others;0;0;0;0;0;8/2/24;;
Aedes Albopictus;0;0;0;0;0;8/2/24;;
Aedes Aegypti;0;0;0;0;0;8/2/24;;
Culex;6;5;0;0;11;8/2/24;;
Others;0;0;0;0;0;8/2/24;;
Aedes Albopictus;0;0;0;0;0;9/2/24;;
Aedes Aegypti;0;0;0;0;0;9/2/24;;
Culex;5;1;0;0;6;9/2/24;;
Others;0;0;0;0;0;9/2/24;;
Aedes Albopictus;0;0;0;0;0;9/2/24;;
Aedes Aegypti;0;0;0;0;0;9/2/24;;
Culex;59;21;4;0;84;9/2/24;;
Others;0;0;0;0;0;9/2/24;;
Aedes Albopictus;0;0;0;0;0;9/2/24;;
Aedes Aegypti;0;0;0;0;0;9/2/24;;
Culex;81;52;2;0;135;9/2/24;;
Others;0;0;0;0;0;9/2/24;;
Aedes Albopictus;0;0;0;0;0;9/2/24;;
Aedes Aegypti;0;0;0;0;0;9/2/24;;
Culex;32;48;0;0;80;9/2/24;;
Others;0;0;0;0;0;9/2/24;;
Aedes Albopictus;0;0;0;0;0;9/2/24;;
Aedes Aegypti;0;0;0;0;0;9/2/24;;
Culex;28;2;1;0;31;9/2/24;;
Others;0;0;0;0;0;9/2/24;;
Aedes Albopictus;0;0;0;0;0;9/2/24;;
Aedes Aegypti;0;0;0;0;0;9/2/24;;
Culex;103;16;3;0;122;9/2/24;;
Others;0;0;0;0;0;9/2/24;;
Aedes Albopictus;0;0;0;0;0;9/2/24;;
Aedes Aegypti;0;0;0;0;0;9/2/24;;
Culex;16;8;1;0;25;9/2/24;;
Others;0;0;0;0;0;9/2/24;;
Aedes Albopictus;0;0;0;0;0;9/2/24;;
Aedes Aegypti;0;0;0;0;0;9/2/24;;
Culex;21;31;4;0;56;9/2/24;;
Others;0;0;0;0;0;9/2/24;;
Aedes Albopictus;0;0;0;0;0;9/2/24;;
Aedes Aegypti;0;0;0;0;0;9/2/24;;
